,Rank,Name,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Height,Weight
0,1,Michael Jordan,1072,38.3,11.4,22.9,0.49700000000000005,0.5,1.7,0.327,6.8,8.2,0.835,2.7,2.6,1.6,4.7,6.2,5.3,2.3,0.8,30.1,198.12,97.975872
6,7,Allen Iverson,914,41.1,9.3,21.8,0.425,1.2,3.7,0.313,7.0,8.9,0.78,3.6,1.9,0.8,2.9,3.7,6.2,2.2,0.2,26.7,182.88,74.84268
13,14,Karl Malone,1476,37.2,9.2,17.8,0.516,0.1,0.2,0.27399999999999997,6.6,8.9,0.742,3.1,3.1,2.4,7.7,10.1,3.6,1.4,0.8,25.0,205.74,116.119552
14,15,Kobe Bryant,1346,36.1,8.7,19.5,0.447,1.4,4.1,0.32899999999999996,6.2,7.4,0.8370000000000001,3.0,2.5,1.1,4.1,5.2,4.7,1.4,0.5,25.0,200.66,90.7184
16,17,Dominique Wilkins,1074,35.5,9.3,20.1,0.461,0.7,2.1,0.319,5.6,6.9,0.8109999999999999,2.5,1.9,2.7,3.9,6.7,2.5,1.3,0.6,24.8,203.2,104.32616
28,29,Shaquille O'Neal,1207,34.7,9.4,16.1,0.5820000000000001,0.0,0.0,0.045,4.9,9.3,0.527,2.7,3.4,3.5,7.4,10.9,2.5,0.6,2.3,23.7,215.9,136.0776
42,43,Charles Barkley,1073,36.6,7.9,14.5,0.541,0.5,1.9,0.266,5.9,8.1,0.735,3.1,3.1,4.0,7.7,11.7,3.9,1.5,0.8,22.1,198.12,114.30518400000001
47,48,Dwyane Wade,1054,33.9,8.0,16.7,0.48,0.5,1.8,0.293,5.4,7.1,0.765,3.2,2.2,1.2,3.5,4.7,5.4,1.5,0.8,22.0,193.04,96.16150400000001
50,51,Hakeem Olajuwon,1238,35.7,8.7,17.0,0.512,0.0,0.1,0.20199999999999999,4.4,6.2,0.7120000000000001,3.0,3.5,3.3,7.8,11.1,2.5,1.7,3.1,21.8,213.36,115.66596000000001
52,53,David Robinson,987,34.7,7.5,14.4,0.518,0.0,0.1,0.25,6.1,8.3,0.736,2.4,2.9,3.1,7.5,10.6,2.5,1.4,3.0,21.1,215.9,106.59411999999999
