,Rank,Name,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Height,Weight
0,1,Michael Jordan,1072,38.3,11.4,22.9,.497,0.5,1.7,.327,6.8,8.2,.835,2.7,2.6,1.6,4.7,6.2,5.3,2.3,0.8,30.1,198.12,97.975872
1,2,Wilt Chamberlain,1045,45.8,12.1,22.5,.540,0.0,0.0,.000,5.8,11.4,.511,0.0,2.0,0.0,0.0,22.9,4.4,0.0,0.0,30.1,0.0,0.0
2,3,Elgin Baylor,846,40.0,10.3,23.8,.431,0.0,0.0,.000,6.8,8.7,.780,0.0,3.1,0.0,0.0,13.5,4.3,0.0,0.0,27.4,0.0,0.0
3,4,Jerry West,932,39.2,9.7,20.4,.474,0.0,0.0,.000,7.7,9.4,.814,0.0,2.6,1.0,2.8,5.8,6.7,2.6,0.7,27.0,0.0,0.0
4,5,Kevin Durant ,884,36.7,9.2,18.6,.494,1.9,4.9,.384,6.7,7.6,.883,3.1,1.9,0.7,6.3,7.1,4.2,1.1,1.1,27.0,0.0,0.0
5,6,LeBron James ,1310,38.2,9.8,19.5,.504,1.5,4.4,.345,5.8,7.9,.733,3.5,1.8,1.2,6.3,7.4,7.4,1.6,0.7,27.0,0.0,0.0
6,7,Allen Iverson,914,41.1,9.3,21.8,.425,1.2,3.7,.313,7.0,8.9,.780,3.6,1.9,0.8,2.9,3.7,6.2,2.2,0.2,26.7,182.88,74.84268
7,8,Bob Pettit,792,38.8,9.3,21.3,.436,0.0,0.0,.000,7.8,10.3,.761,0.0,3.2,0.0,0.0,16.2,3.0,0.0,0.0,26.4,0.0,0.0
8,9,George Gervin,791,33.5,10.2,19.9,.511,0.1,0.5,.297,5.7,6.8,.844,3.0,2.9,1.5,3.1,4.6,2.8,1.2,0.8,26.2,0.0,0.0
9,10,Zion Williamson ,85,31.7,9.9,16.4,.604,0.2,0.6,.333,5.7,8.3,.683,2.7,2.1,2.7,4.2,7.0,3.2,0.9,0.6,25.7,0.0,0.0
10,11,Luka Doncic ,199,33.3,8.7,19.1,.457,2.7,8.1,.331,5.6,7.6,.735,4.0,2.2,1.1,7.3,8.4,7.7,1.0,0.4,25.7,0.0,0.0
11,12,Oscar Robertson,1040,42.2,9.1,18.9,.485,0.0,0.0,.000,7.4,8.8,.838,0.0,2.8,1.0,3.0,7.5,9.5,1.1,0.1,25.7,0.0,0.0
12,13,James Harden ,877,34.4,7.4,16.7,.444,2.8,7.7,.363,7.5,8.7,.858,3.7,2.6,0.8,4.7,5.5,6.5,1.6,0.5,25.1,0.0,0.0
